E,Building retrofits, 2.8 
E,Industrial efficiency, 2.8 
E,Electrical grid upgrades, 2.8 
E,Public transportation expansion/upgrades, including rail, 2.8 
E,Expanding high efficiency automobile fleet, 2.8 
R,Solar: onshore community, commercial, and residential scales, 22.4 
R,Solar: onshore utility scale, 16.0 
R,Solar: offshore utility scale, 3.2 
R,Wind: offshore, 9.0 
R,Wind: onshore, 10.2 
R,Low-emissions bioenergy, 0.8 
R,Tidal, 0.8 
R,Small-scale hydro, 0.8 
R,Geothermal, 0.8 
