rdate,js,je,f,is,ie,kelag,kslag,y,u,q,cs,ce
19692,.413,.325,71384,111287,156563,869600,1205200,2007200,.870,.934798,.1798212,.1803889
19693,.419,.331,70888,115760,158010,882950,1217100,2017900,.869,.898911,.1841731,.2123512
19694,.424,.337,70436,114904,156204,896300,1229000,2007200,.852,.868163,.1882239,.2166510
19701,.429,.343,68640,111874,154042,907175,1239850,1995800,.817,.863120,.1846261,.2160245
19702,.434,.352,69632,111294,153029,918050,1250700,1994300,.802,.854213,.1917919,.2239066
19703,.431,.356,70468,111068,155787,928925,1261550,2024400,.788,.843953,.1878615,.2238242
19704,.434,.360,68476,110196,148818,939800,1272400,2003000,.759,.836021,.1799702,.2187456
19711,.446,.368,74804,109053,148639,948775,1281900,2062800,.770,.854802,.1803490,.2119010
19712,.453,.379,77396,107524,151037,957750,1291400,2061900,.771,.865492,.1798031,.2139426
19713,.459,.385,81192,107348,150284,966725,1300900,2074900,.768,.873904,.1823493,.1833143
19714,.462,.392,83728,105467,154098,975700,1310400,2072400,.785,.885973,.1811184,.1835932
19721,.468,.398,88332,108537,159320,987300,1319825,2126300,.809,.889431,.1767877,.1813997
19722,.469,.403,91504,109070,163122,998900,1329250,2175900,.822,.893814,.1766122,.1830283
19723,.470,.409,93080,108829,167029,1010500,1338675,2198400,.827,.899995,.1731788,.1825611
19724,.467,.415,99016,111740,180497,1022100,1348100,2245700,.853,.909826,.1693462,.1822812
19731,.468,.422,110104,113571,190961,1039825,1359325,2304300,.866,.845962,.1673711,.1822504
19732,.472,.433,113088,116904,199833,1057550,1370550,2308100,.870,.797536,.1675664,.1850539
19733,.475,.442,113756,120171,202442,1075275,1381775,2300700,.873,.750426,.1679369,.1874701
19734,.478,.449,118756,120350,205115,1093000,1393000,2323100,.870,.708570,.1690653,.1884367
19741,.484,.462,124404,118987,205460,1109425,1403400,2300100,.841,.654952,.1734251,.1937155
19742,.494,.483,128344,118900,205762,1125850,1413800,2308100,.839,.608009,.1806242,.2041896
19743,.522,.509,135612,112214,203832,1142275,1424200,2274000,.833,.563049,.2001943,.2191346
19744,.547,.530,126580,110535,195682,1158700,1434600,2253500,.792,.515515,.2075619,.2243484
19751,.575,.540,120012,105031,180466,1167200,1441425,2201000,.716,.536722,.2024969,.2019906
19752,.594,.546,127652,101400,176172,1175700,1448250,2226300,.706,.550311,.1984779,.1973821
19753,.606,.548,144476,102437,177152,1184200,1455075,2268700,.726,.564039,.2013721,.1954768
19754,.615,.555,150824,102328,179774,1192700,1461900,2302300,.743,.577910,.1970938,.1923117
19761,.628,.560,154936,103823,181079,1201675,1467800,2355000,.763,.588519,.1915565,.1871780
19762,.639,.572,156420,103721,183068,1210650,1473700,2365500,.770,.593102,.1922966,.1887475
19763,.648,.580,157832,104972,187861,1219625,1479600,2375600,.777,.596627,.1914977,.1878398
19764,.660,.590,158328,105208,192702,1228600,1485500,2402900,.787,.604006,.1936532,.1884427
19771,.666,.596,170492,104356,207160,1243375,1491950,2437600,.800,.585401,.1967117,.1897195
19772,.677,.609,181264,108198,212241,1258150,1498400,2483700,.815,.571789,.2003865,.1924127
19773,.688,.620,187588,111026,216750,1272925,1504850,2537800,.821,.559626,.2039961,.1950139
19774,.701,.638,187632,109780,226620,1287700,1511300,2529800,.822,.549440,.2096272,.2004119
19781,.714,.649,190132,111250,228211,1306775,1519800,2546700,.818,.535091,.2180724,.2059201
19782,.727,.667,205788,119868,243777,1325850,1528300,2645400,.840,.525552,.2151354,.2059382
19783,.739,.688,211240,122360,247060,1344925,1536800,2666000,.851,.516224,.2116114,.2068849
19784,.750,.710,223068,123826,252133,1364000,1545300,2698700,.860,.510327,.2142061,.2118411
19791,.764,.730,228168,122739,260946,1384700,1555575,2694600,.859,.510010,.2095930,.2137173
19792,.779,.751,239040,128145,256751,1405400,1565850,2686300,.850,.515308,.2117504,.2165820
19793,.793,.774,248736,133021,261192,1426100,1576125,2705400,.841,.518907,.2095848,.2177868
19794,.807,.788,246988,138655,256152,1446800,1586400,2699100,.833,.524244,.2181699,.2256304
19801,.828,.809,252232,140195,257504,1461475,1597850,2727400,.826,.538556,.2247310,.2312373
19802,.850,.829,229808,134901,237965,1476150,1609300,2651800,.780,.551374,.2240065,.2291190
19803,.874,.845,241612,133510,236866,1490825,1620750,2654100,.771,.565070,.2173853,.2238114
19804,.888,.864,249300,136238,239607,1505500,1632200,2699300,.793,.581025,.2139655,.2242482
19811,.908,.891,262848,140678,244985,1518400,1645800,2753800,.795,.561538,.1842780,.2280618
19812,.928,.913,256784,149274,245984,1531300,1659400,2743800,.793,.547266,.1902468,.2348067
19813,.945,.943,265680,152988,249682,1544200,1673000,2756000,.790,.536933,.1964139,.2432393
19814,.965,.974,269352,152212,244798,1557100,1686600,2705400,.753,.527588,.1997891,.2486189
19821,.982,.995,246760,151020,235936,1562100,1697475,2663800,.724,.552429,.2075840,.2552449
19822,.997,1.003,252220,144651,224882,1567100,1708350,2668900,.708,.562107,.2059078,.2519017
19823,1.008,1.007,256912,139257,218724,1572100,1719225,2646000,.698,.572161,.2023863,.2460654
19824,1.015,.995,254792,138252,214050,1577100,1730100,2654100,.682,.579551,.1817944,.2242627
19831,1.005,.986,266456,128206,213365,1583500,1736175,2679500,.702,.585112,.1729755,.2072203
19832,.997,.972,289108,123314,225468,1589900,1742250,2752300,.725,.594500,.1639155,.1975464
19833,.989,.975,311716,125835,238083,1596300,1748325,2795100,.758,.605060,.1647506,.2000506
19834,.991,.968,318992,131581,258780,1602700,1754400,2853200,.774,.619832,.1627956,.1960100
19841,.991,.971,327684,133544,260889,1617850,1764575,2934400,.799,.619489,.1685945,.2042748
19842,.985,.985,331148,141272,278237,1633000,1774750,2977900,.806,.620190,.1736615,.2125533
19843,.986,.990,330784,142909,284207,1648150,1784925,2994500,.811,.619138,.1711624,.2106508
19844,.987,.995,337440,147483,300102,1663300,1795100,3006300,.806,.622443,.1652981,.2055303
19851,.988,1.006,339864,149903,292754,1680000,1807150,3034800,.802,.655171,.1615847,.2042057
19852,.981,1.013,348748,154141,308879,1696700,1819200,3054800,.802,.678161,.1556921,.2007048
19853,.980,1.018,359092,152284,310851,1713400,1831250,3090800,.801,.702245,.1516469,.1978572
19854,.976,1.032,364496,152404,324497,1730100,1843300,3105400,.799,.730517,.1468041,.1961207
19861,.984,1.044,345220,148094,309699,1748550,1849600,3135800,.800,.757614,.143236,.1944407
19862,.976,1.065,345036,132887,323941,1767000,1855900,3146900,.795,.780495,.1363091,.1926421
19863,.983,1.078,353512,129493,324886,1785450,1862200,3168000,.797,.801413,.1331373,.1898678
19864,.990,1.077,363632,127695,330067,1803900,1868500,3179000,.798,.826847,.1315371,.1871337
